Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Guangxi,Mainland China,2020-03-16T14:38:45,252,2,248
Shaanxi,Mainland China,2020-03-16T14:38:45,245,2,233
New Jersey,US,2020-03-16T22:13:21,178,2,1
Yunnan,Mainland China,2020-03-16T23:53:02,176,2,172
New South Wales,Australia,2020-03-16T14:38:46,171,2,4
Hainan,Mainland China,2020-03-16T14:38:45,168,6,161
Hong Kong,Hong Kong,2020-03-16T14:38:45,155,4,84
Guizhou,Mainland China,2020-03-16T14:38:45,146,2,144
Tianjin,Mainland China,2020-03-15T18:20:18,136,3,133
Gansu,Mainland China,2020-03-15T18:20:18,133,2,91
Liaoning,Mainland China,2020-03-16T14:38:45,125,1,115
British Columbia,Canada,2020-03-16T19:13:13,103,4,4
Jilin,Mainland China,2020-03-16T00:22:10,93,1,92
Xinjiang,Mainland China,2020-03-11T02:18:14,76,3,73
Inner Mongolia,Mainland China,2020-03-16T14:38:45,75,1,73
Kentucky,US,2020-03-16T18:33:03,21,1,1
Hubei,Mainland China,2020-03-17T11:53:10,67799,3111,56003
France,France,2020-03-17T19:13:08,7652,148,12
United Kingdom,UK,2020-03-17T15:13:09,1950,55,52
Netherlands,Netherlands,2020-03-17T15:13:11,1705,43,2
Guangdong,Mainland China,2020-03-17T01:53:03,1364,8,1307
Henan,Mainland China,2020-03-14T09:53:08,1273,22,1250
Diamond Princess cruise ship,Others,2020-03-13T14:13:25,696,7,325
Chongqing,Mainland China,2020-03-15T03:53:04,576,6,570
Sichuan,Mainland China,2020-03-17T08:33:02,540,3,520
Heilongjiang,Mainland China,2020-03-17T01:33:02,482,13,456
Beijing,Mainland China,2020-03-17T10:53:03,456,8,369
Shanghai,Mainland China,2020-03-17T02:13:20,358,3,325
Hebei,Mainland China,2020-03-13T11:09:03,318,6,310
Fujian,Mainland China,2020-03-11T02:18:14,296,1,295
New Jersey,US,2020-03-17T20:13:22,267,3,1
Guangxi,Mainland China,2020-03-17T00:33:02,253,2,248
Shaanxi,Mainland China,2020-03-17T10:53:03,246,3,236
New South Wales,Australia,2020-03-17T12:33:07,210,4,4
Ontario,Canada,2020-03-17T16:53:04,185,1,5
Yunnan,Mainland China,2020-03-16T23:53:02,176,2,172
Hainan,Mainland China,2020-03-16T14:38:45,168,6,161
Hong Kong,Hong Kong,2020-03-17T10:13:11,162,4,88
Illinois,US,2020-03-17T22:53:03,161,1,2
Guizhou,Mainland China,2020-03-17T07:33:03,147,2,144
Tianjin,Mainland China,2020-03-15T18:20:18,136,3,133
Gansu,Mainland China,2020-03-15T18:20:18,133,2,91
Liaoning,Mainland China,2020-03-17T12:13:13,125,1,120
British Columbia,Canada,2020-03-16T19:13:13,103,4,4
Jilin,Mainland China,2020-03-16T00:22:10,93,1,92
Western Australia,Australia,26/03/2020 23.53,231,2,1
Xinjiang,Mainland China,26/03/2020 23.53,76,3,73
Yunnan,Mainland China,26/03/2020 23.53,178,2,172
Zhejiang,Mainland China,26/03/2020 23.53,1243,1,1222
Anhui,Mainland China,27/03/2020 23.27,990,6,984
Beijing,Mainland China,27/03/2020 23.27,569,8,408
Chongqing,Mainland China,27/03/2020 23.27,578,6,570
Curacao,Netherlands,27/03/2020 23.27,8,1,2
Fujian,Mainland China,27/03/2020 23.27,331,1,295
Gansu,Mainland China,27/03/2020 23.27,136,2,123
Guangdong,Mainland China,27/03/2020 23.27,1456,8,1337
Guangxi,Mainland China,27/03/2020 23.27,254,2,250
Guizhou,Mainland China,27/03/2020 23.27,146,2,144
Hainan,Mainland China,27/03/2020 23.27,168,6,162
Hebei,Mainland China,27/03/2020 23.27,319,6,310
Heilongjiang,Mainland China,27/03/2020 23.27,484,13,469
Channel Islands,UK,03/04/2020 22.52,232,4,13
Chongqing,Mainland China,03/04/2020 22.52,579,6,570
Curacao,Netherlands,03/04/2020 22.52,11,1,3
Fujian,Mainland China,03/04/2020 22.52,349,1,300
Gansu,Mainland China,03/04/2020 22.52,138,2,127
Guadeloupe,France,03/04/2020 22.52,130,7,24
Guangdong,Mainland China,03/04/2020 22.52,1514,8,1368
Guangxi,Mainland China,03/04/2020 22.52,254,2,252
Guizhou,Mainland China,03/04/2020 22.52,146,2,144
Hainan,Mainland China,03/04/2020 22.52,168,6,162
Hebei,Mainland China,03/04/2020 22.52,326,6,310
Heilongjiang,Mainland China,03/04/2020 22.52,489,13,469
Henan,Mainland China,03/04/2020 22.52,1276,22,1251
Hong Kong,Hong Kong,03/04/2020 22.52,845,4,173
Hubei,Mainland China,03/04/2020 22.52,67802,3203,63612
Queensland,Australia,04/04/2020 09.38,900,4,8
Shaanxi,Mainland China,04/04/2020 09.38,256,3,245
Shandong,Mainland China,04/04/2020 09.38,778,7,755
Shanghai,Mainland China,04/04/2020 09.38,529,6,356
